attitudeX,attitudeY,attitudeZ,gyroX,gyroY,gyroZ,gravityX,gravityY,gravityZ,accX,accY,accZ
1.162958048178225,1.375290823472588,-1.8057935376344683,-0.24256938695907593,0.3098866939544678,0.20578770339488983,0.3890698254108429,-0.9179803729057312,-0.07704947143793106,-0.0025799572467803955,0.0030634403228759766,0.0350116565823555
1.1646745781331533,1.371121918049344,-1.7981278864945485,-0.2802467346191406,0.2676319181919098,0.24837245047092438,0.38720035552978516,-0.9186598062515259,-0.07835815846920013,0.019705772399902344,0.005680739879608154,0.035359032452106476
1.166667386789931,1.3657585226382132,-1.7894516961517077,-0.30901554226875305,0.2507251501083374,0.27357232570648193,0.3849814236164093,-0.919445276260376,-0.08006083965301514,0.017102926969528198,0.012569606304168701,0.017988212406635284
1.1688022257679427,1.3597127114356733,-1.7800586293996856,-0.32087594270706177,0.2760201096534729,0.29435431957244873,0.38257065415382385,-0.9202826023101807,-0.0819755420088768,0.010038107633590698,0.007486462593078613,-0.008173294365406036
1.1711319291040352,1.3540155594439438,-1.7705136604900997,-0.30078449845314026,0.33734041452407837,0.31678667664527893,0.38000187277793884,-0.9211916327476501,-0.08369223028421402,0.01066887378692627,-0.007320821285247803,-0.047945186495780945
1.1736901725485407,1.3499031180356806,-1.7621445341997868,-0.21579477190971375,0.37350428104400635,0.3200530409812927,0.3773539066314697,-0.9221840500831604,-0.08473764359951019,0.0059163570404052734,-0.017391085624694824,-0.09066199511289597
1.1764617382121687,1.3483519802821564,-1.756371772403131,-0.09466894716024399,0.37303322553634644,0.31448718905448914,0.3747280240058899,-0.9232524037361145,-0.08475875854492188,-0.007220029830932617,-0.015315771102905273,-0.12096011638641357
1.1794476187131162,1.3493400034721421,-1.753604727767081,0.015697509050369263,0.3280026316642761,0.3149593472480774,0.3721204698085785,-0.9243954420089722,-0.08378257602453232,-0.014362871646881104,-0.005032718181610107,-0.13302946090698242
1.1827474804492935,1.3519132357145245,-1.7532299066082493,0.09702188521623611,0.25187888741493225,0.3339560329914093,0.36935532093048096,-0.925649106502533,-0.08216196298599243,-0.01109418272972107,-0.006907105445861816,-0.12462502717971802
1.1864948324400837,1.3554713337601023,-1.7548714696933954,0.18277062475681305,0.15243911743164062,0.36502742767333984,0.36625397205352783,-0.9270605444908142,-0.0801055058836937,0.0009488165378570557,-0.020708680152893066,-0.11078178882598877
1.1906091833505963,1.3595437877655885,-1.7583575994209988,0.2418821007013321,0.013984876684844494,0.38216373324394226,0.3628450036048889,-0.9285951852798462,-0.07781291753053665,0.001504451036453247,-0.029428064823150635,-0.09520638734102249
1.1949866740259076,1.3633250107444836,-1.7628171328708793,0.2526598870754242,-0.07718843966722488,0.406392902135849,0.35915517807006836,-0.9302107691764832,-0.07560227066278458,0.0018220245838165283,-0.03573167324066162,-0.06609070301055908
1.199588066855668,1.366233859125078,-1.767054581140202,0.233221635222435,-0.12165910005569458,0.4275253117084503,0.3551784157752991,-0.9318897128105164,-0.073686882853508,0.008270680904388428,-0.03902697563171387,-0.03486400097608566
1.2043267048851547,1.3681744211353002,-1.7705487940123517,0.20632824301719666,-0.14051908254623413,0.44516927003860474,0.35099121928215027,-0.9335981607437134,-0.07210803031921387,0.008338004350662231,-0.039408981800079346,-0.011662594974040985
1.2090938334299914,1.369355131367911,-1.7734505472226934,0.1853555589914322,-0.16586357355117798,0.4410466253757477,0.3467116355895996,-0.9352957010269165,-0.07080229371786118,0.0024247169494628906,-0.04346400499343872,0.0014054849743843079
1.2136858791928213,1.3696971319959026,-1.775715824291122,0.15305353701114655,-0.18813106417655945,0.42263540625572205,0.3425241708755493,-0.9369108080863953,-0.06982514262199402,-0.015085756778717041,-0.04899013042449951,0.004319310188293457
1.2180110824648325,1.369354678001108,-1.7773498069938807,0.13271120190620422,-0.18578796088695526,0.3954007923603058,0.3385266363620758,-0.9384140372276306,-0.06913098692893982,-0.03431212902069092,-0.04921114444732666,0.0004208087921142578
1.2220084045637623,1.369025442827961,-1.7789303576117943,0.13467395305633545,-0.17636489868164062,0.36217278242111206,0.33482563495635986,-0.9397876262664795,-0.06849004328250885,-0.04684650897979736,-0.03408920764923096,-0.011359080672264099
1.225646245447669,1.3692761614278952,-1.7810418733447229,0.15085498988628387,-0.16267217695713043,0.32142794132232666,0.3314913511276245,-0.941024661064148,-0.0677214190363884,-0.050271838903427124,-0.018631160259246826,-0.020886242389678955
1.2288663833966118,1.370877427754681,-1.7841712693673863,0.1857200264930725,-0.09841702878475189,0.26732635498046875,0.32862794399261475,-0.9421092867851257,-0.06658843159675598,-0.04992610216140747,-0.014021754264831543,-0.025086283683776855
1.231614174262696,1.3748244914924832,-1.788847869464826,0.2242930680513382,0.005376916378736496,0.2110750675201416,0.3263474106788635,-0.9430270791053772,-0.0647864043712616,-0.04933932423591614,-0.012768208980560303,-0.028856627643108368
1.233962800841812,1.3810975699429355,-1.7948876721979474,0.25327226519584656,0.1046835258603096,0.1742326319217682,0.32457154989242554,-0.9438059329986572,-0.06232016161084175,-0.04771602153778076,-0.01678067445755005,-0.027050435543060303
1.2359994357318587,1.3885379314009456,-1.8015113425015277,0.247139111161232,0.12147065997123718,0.14588795602321625,0.32313576340675354,-0.9444770812988281,-0.05955510586500168,-0.04570037126541138,-0.0162011981010437,-0.006622143089771271
1.2377231683422423,1.3953089206326788,-1.8076296844159168,0.20462892949581146,0.0686308816075325,0.12295414507389069,0.3219278156757355,-0.9450420141220093,-0.0570814423263073,-0.0541512668132782,-0.016368627548217773,0.022764556109905243
1.2391552109871828,1.4001984992235676,-1.8124749933666426,0.15251225233078003,-0.010068779811263084,0.10900406539440155,0.3208692967891693,-0.9455092549324036,-0.05527690425515175,-0.061851292848587036,-0.020524799823760986,0.043710820376873016
1.2404353184621526,1.4027221942227481,-1.8156180015665646,0.08850930631160736,-0.0753772109746933,0.11477993428707123,0.31981393694877625,-0.9459252953529358,-0.054264385253190994,-0.05542486906051636,-0.029767513275146484,0.05293697118759155
1.2417989098489906,1.402750034692927,-1.816661149094723,0.024755045771598816,-0.10683149844408035,0.14567998051643372,0.31854376196861267,-0.9463667273521423,-0.05403974652290344,-0.023270875215530396,-0.016295194625854492,0.05144583433866501
